,Unnamed: 0,index,lon,lat,geometry,d_water,d_park,d_lm
37,37,37,-87.61514733140001,41.644720066,POINT (-87.61514733140001 41.644720066),0.004951107276558757,0.0124268856329795,0.1090443847518334
38,38,38,-87.60867906060001,41.644720066,POINT (-87.60867906060001 41.644720066),0.002338434322262777,0.011200721015858357,0.10397311910428382
39,39,39,-87.60221078980001,41.644720066,POINT (-87.60221078980001 41.644720066),0.0007747019106845222,0.007541155690208413,0.09906471723537873
40,40,40,-87.59574251900001,41.644720066,POINT (-87.59574251900001 41.644720066),0.003094933810646545,0.006286553068304588,0.09434460217660436
41,41,41,-87.58927424820001,41.644720066,POINT (-87.58927424820001 41.644720066),0.0018331673477725023,0.0033204950172311073,0.08984245529304165
42,42,42,-87.58280597740001,41.644720066,POINT (-87.58280597740001 41.644720066),0.0011967524824675778,0.0,0.08559267866229492
43,43,43,-87.57633770660001,41.644720066,POINT (-87.57633770660001 41.644720066),0.005151418144949818,0.0027500430983102785,0.08163469582460517
44,44,44,-87.5698694358,41.644720066,POINT (-87.5698694358 41.644720066),0.0001413697886114595,0.009204928612894694,0.07800936999930146
45,45,45,-87.563401165,41.644720066,POINT (-87.563401165 41.644720066),7.86263579795866e-05,0.007238408607614023,0.07354682686531007
46,46,46,-87.5569328942,41.644720066,POINT (-87.5569328942 41.644720066),0.0005649257280446797,0.007778558210048075,0.06889028958135092
47,47,47,-87.5504646234,41.644720066,POINT (-87.5504646234 41.644720066),0.0016725166009952512,0.010552713102652824,0.06454676838954157
48,48,48,-87.5439963526,41.644720066,POINT (-87.5439963526 41.644720066),0.008139117362287809,0.004125349322643571,0.060581906634408725
49,49,49,-87.5375280818,41.644720066,POINT (-87.5375280818 41.644720066),0.0058168493571817935,0.0,0.05680878770471263
50,50,50,-87.531059811,41.644720066,POINT (-87.53105981100001 41.644720066),0.0009404548065042904,0.0,0.05339855655440195
51,51,51,-87.85447335100002,41.648450873840005,POINT (-87.85447335100002 41.64845087384),0.12267697106780474,0.13920502720490888,0.30707534611570225
52,52,52,-87.84800508020002,41.648450873840005,POINT (-87.84800508020002 41.64845087384),0.11659362736712207,0.13296231622261753,0.30120134095170137
53,53,53,-87.84153680940003,41.648450873840005,POINT (-87.84153680940003 41.64845087384),0.11055399454185212,0.12674222866010962,0.2953521702043377
